36	tls
30	pin
29	incapsula
28	ddos
16	ivote server
15	javascript
15	wa
13	australian
13	cloud provider
13	incapsulas
12	ivote system
10	id
10	state election
8	san
7	a.
7	ip
6	aes
6	pkcs
6	s.
6	waec
5	australia
5	brute force attack
5	computer
5	j.
5	partial votes
5	wales
4	b.
4	d.
4	electoral commission
4	furthermore
4	gcm
4	listing
4	long password
4	m.
4	mitigation service
4	n.
4	pbkdf2
4	pbkdf2withhmacsha1
4	protection service
4	voter credentials
4	voterid value
3	acm
3	attack scenarios
3	base64encoded
3	base64encoded ca certificate
3	china
3	communications
3	distributed denial
3	e.
3	election day
3	fig
3	figure
3	final vote
3	halderman
3	login time
3	nist
3	partial vote
3	pop
3	private key
3	private keys
3	proceedings
3	registration server
3	t.
3	token
3	voters computer
2	8-digit ivote
2	acm sigsac
2	additional findings
2	additionally
2	base64
2	based
2	cao
2	certificate
2	clash attack
2	complex interaction
2	core voting
2	credential file
2	cvs
2	decpassks
2	domestic law enforcement
2	election servers
2	election website
2	europe
2	feb
2	following
2	foreign government
2	heninger
2	identify voters
2	ieee
2	incapsulas ddos
2	information systems
2	internet
2	ips
2	issuer
2	iv oteid
2	iv oteids
2	ivote protocol
2	japan
2	json
2	key findings
2	legitimate users
2	malicious traffic
2	march
2	melbourne
2	mitigation methods
2	mitigation services
2	national security operation
2	network
2	nonce length
2	nov
2	nsw
2	null bytes
2	onchange listeners
2	online elections
2	p in
2	p.y.
2	part
2	poland
2	profile cookie
2	protocol
2	receipt number
2	registration step
2	ryan
2	salt value
2	server
2	server responds
2	server responses
2	servers worldwide
2	sha1
2	sha256
2	ssl
2	stark
2	subject alternate name
2	sufficient information
2	symposium
2	tag length
2	teague
2	telephone verification service
2	timing analysis
2	valid ballot
2	voters client
2	voters connection
2	voting
2	was
2	z.
1	//blockchain.info/stats mark
1	//www.incapsula.com/blog/make-website-invisible-direct-to-origin-ddos-attacks.html incapsula.com
1	//www.incapsula.com/incapsula-global-network-map.html https
1	1. ivote
1	112-bit security level [
1	12-digit receipt number
1	16-byte key
1	20-core droplet
1	6-digit user-chosen value
1	< script > element
1	] data
1	a.t.
1	abstract
1	access
1	accurate clash attacks
1	accurate election result
1	accurate prediction
1	acknowledgements
1	actual votes
1	additional cookies
1	additional details
1	additional malicious code
1	additional requests
1	address https
1	adelaide
1	adida
1	adrian
1	aes cipher
1	aes key
1	aessex @ uwo.ca
1	aleksander essex3
1	alternate names
1	amazon ec2
1	america
1	americas
1	anonymous reviewers
1	archive
1	argentina
1	arxiv:1708.00991v1 [ cs.cr ]
1	asia
1	asics
1	attack relies
1	attack scenario
1	attacker need
1	attackers [
1	auditors [
1	aug
1	august
1	australias
1	available technical documentation
1	average vote
1	background
1	bad ones
1	bailey
1	ballot ksignsk
1	ballot preferences
1	ballot secrecy
1	base64 challenge object
1	base64 copy
1	base64 encoded pem certificate
1	base64 encrypted string
1	base64 siganture
1	base64encoded aes key
1	base64encoded certificate
1	base64encoded client certificate
1	base64encoded pkcs12 keystore
1	behaviour poses
1	bell
1	ben-nun
1	benaloh
1	bismark
1	bitcoin
1	bits
1	bodduluri
1	browser generates
1	browser plugins
1	brute force attacks
1	brute force voterids
1	brute forcing voter credentials
1	brute-force search
1	brute-forcible voter credentials
1	bypassing
1	bypassing ddos mitigation
1	byrne
1	byte key
1	bytes
1	canada
1	candidate preferences
1	carback
1	cast ballot
1	census
1	censys
1	certificate footprint incapsulas
1	certificate management practices
1	certificates subject
1	certificates subject alternate name
1	chaum
1	chris culnane1
1	christopher.culnane @ unimelb.edu.au
1	clark
1	clash attack relies
1	client-side key derivations
1	cloud application delivery company
1	cloud provider [
1	cloud provider sits
1	cloud provider uses
1	cloud providers
1	cloud providers practice involves
1	code calls
1	code inserts
1	code refers
1	coercive entity
1	cohen
1	cohney
1	combined
1	common name
1	communication
1	comodo subject
1	comparable cost
1	complete overview
1	computational resources
1	computer engineering
1	computing
1	concept
1	conclusion
1	concurrent droplets
1	concurrent instances
1	configuration file
1	contempoary bitcoin
1	contemporary deployments
1	cookie calculates
1	cookie exists
1	cookies
1	cost [
1	cpu
1	credential exchange
1	credential file generation
1	credential file processing
1	credential.json file
1	credential.json whenever
1	credential.json- > vk- > secrets
1	credential.json- > vk- > store
1	credential.json- > vkp
1	crucial consequence
1	crucially
1	cryptographic key derivation implementation
1	cryptographic values
1	cryptology
1	d.s.
1	data centers
1	data centers.8
1	data centres
1	ddos prevention
1	ddos protection
1	ddos provider
1	debeauvoir
1	decdk
1	default account max
1	demo system uses
1	demonstration website
1	demos-2
1	denial-of-service prevention
1	destination website
1	different browsers
1	different key
1	different story
1	digital
1	digital certificate
1	digital oceans
1	direct-to-origin ddos
1	distributed
1	dk =
1	dns
1	domain *.example.com
1	domain name look-ups
1	durumeric
1	e-voting
1	eakin
1	economics references
1	election agencies
1	election commission
1	election outcome
1	election outcomes
1	election result
1	election setting
1	election software
1	election systems
1	electoral divisions
1	electrical
1	electronic voting
1	encpk
1	encrypt partial votes
1	encryption
1	encryption key
1	end-to-end
1	entire web
1	eo string
1	essex
1	estonias
1	evt
1	evt/wote
1	factoring
1	failure statistics
1	february
1	file credential.json
1	file size
1	filter malicious connections
1	filter malicious requests
1	final outcome
1	final submission
1	final vote preferences
1	financial expense
1	findings section
1	firstly
1	fisher
1	foreign country
1	foreign election
1	foreign intelligence service
1	foreign nation
1	foreign power
1	form ivoteid +
1	france
1	fried
1	front-end ivote protocol
1	full functionality
1	function uses
1	fundamental tension
1	g.
1	galois/counter mode
1	gentle introduction
1	genuine evidence
1	genuine protocol
1	germany
1	global content delivery network
1	global network
1	global scan
1	globalsign subject
1	good connections
1	google
1	google analytics
1	government online ecensus system
1	gpu
1	gpu-optimized
1	hardware level
1	hash rates
1	hashcat
1	hashlib
1	heather
1	helios
1	helpful feedback
1	hex values
1	high degree
1	high-level
1	high-level overview
1	historical domain registrations
1	html
1	http
1	i.
1	id/pin
1	identify points
1	identify users
1	identity
1	immediate timing comparison
1	imperva incapsula
1	implications
1	important question
1	importantly
1	inaccurate result
1	incapsula ssl support
1	incapsula voter
1	incapsula-controlled tls
1	incapsula:9
1	independent channel
1	individual user connections
1	individual users
1	individual voters
1	inexpensive elastic cloud
1	information forensics
1	initial analysis
1	initial response
1	injecting overview
1	input boxes
1	interactive voice response
1	interesting scenario
1	international conference
1	internet scan
1	internet-wide
1	internet-wide scan
1	intricate sequence
1	introduction democratically
1	invisible ink confirmation codes
1	ip address
1	ipv4
1	ivote ballots
1	ivote election
1	ivote infrastructure
1	ivote server pass
1	ivote servers
1	ivote servers domain
1	ivote system incorporates
1	ivote website https
1	ivoteid +
1	ivr
1	j.a
1	j.a.
1	jonathan
1	joosen
1	key derivation
1	key derivation function
1	key management
1	key store
1	keys
1	keystore
1	kiayias
1	kingdom
1	knowledge
1	kortum
1	kp =
1	l.
1	large number
1	large-scale certificate sharing ddos
1	legislative assembly
1	legislative council
1	legitimate connections
1	legitimate domestic surveillance operation
1	li
1	liao
1	likely forms part
1	lindeman
1	link voters
1	lithuania
1	live election website
1	live online election
1	login
1	login page
1	login phase
1	m.d.
1	macgibbon
1	main limitations
1	main phases
1	malicious cloud provider injects
1	malicious entity
1	malicious injection script
1	malicious purpose
1	malicious script
